district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
內湖區,房地(土地+建物),臺北市內湖區瑞光路316巷31~60號,83.32,工,1040402,土地1建物1車位0,二層,8.0,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1010418.0,433.23,0,0,0,無,有,無,108000,249.0,,0.0,0,,RPTNMLLJNHKFFCA57CC,25.0754751,121.5733367
內湖區,建物,臺北市內湖區安泰街65巷1~30號,0.0,住,1040403,土地0建物0車位0,四層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690818.0,20.69,1,0,1,有,無,有,9500,459.0,,0.0,0,,RPROMLLJNHKFFCA47CC,25.0749819,121.6169136
中山區,建物,臺北市中山區南京東路二段181~210號,0.0,商,1040428,土地0建物1車位1,十三層,14.0,辦公商業大樓,商業用,鋼筋混凝土造,700817.0,174.7,4,1,0,有,有,無,67835,388.0,坡道平面,39.53,0,含兩個門牌，車位部分承租.公設面積依委託書輸入,RPSOMLLJNHKFFCA57CC,25.0519418,121.5351411
中山區,建物,臺北市中山區南京東路二段181~210號,0.0,商,1040428,土地0建物1車位0,十三層,14.0,辦公商業大樓,商業用,鋼筋混凝土造,700817.0,115.07,2,1,0,有,有,無,52200,454.0,,0.0,0,,RPTOMLLJNHKFFCA67CC,25.0519418,121.5351411
中山區,建物,臺北市中山區吉林路447巷1~30號,0.0,商,1040402,土地0建物1車位0,一層,7.0,店面(店鋪),商業用,鋼筋混凝土造,751126.0,55.92,0,0,0,無,無,無,15000,268.0,,0.0,0,,RPUOMLLJNHKFFCA77CC,25.0674054,121.5307715
大同區,車位,臺北市大同區承德路一段1~30號,9.27,其他,1040405,土地0建物0車位1,,0.0,其他,見其他登記事項,見其他登記事項,980724.0,49.62000000000001,0,0,0,有,有,無,3000,,坡道平面,15.51,3000,,RPRNMLLJNHKFFBA27CC,25.049308,121.5171935
大同區,建物,臺北市大同區市民大道一段181~210號,9.27,其他,1040423,土地0建物1車位0,十七層,18.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724.0,46.28,0,0,1,有,有,有,28000,605.0,,0.0,0,租金含稅,RPTNMLLJNHKFFBA47CC,25.048493,121.5187377
萬華區,房地(土地+建物),臺北市萬華區漢中街1~30號,108.0,商,1040416,土地1建物1車位0,全,5.0,透天厝,住家用,鋼筋混凝土造,,465.7,0,0,0,無,無,無,630000,1353.0,,0.0,0,,RPOOMLLJNHKFFBA07CC,25.045002,121.507738
中正區,建物,臺北市中正區館前路1~30號,0.0,商,1040410,土地0建物1車位0,四層,11.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,611113.0,358.7,0,0,0,無,無,無,138000,385.0,,0.0,0,,RPQNMLMJNHKFFBA27CC,25.0454002,121.5151724
信義區,建物,臺北市信義區松勇路1~30號,0.0,住,1040413,土地0建物1車位2,二層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,910204.0,436.69,3,2,4,有,有,有,241500,553.0,坡道平面,0.0,0,,RPPNMLMJNHKFFDA37CC,25.039164,121.5698055
信義區,建物,臺北市信義區仁愛路四段511~540號,0.0,,1040411,土地0建物1車位0,一層,11.0,店面(店鋪),見其他登記事項,鋼骨鋼筋混凝土造,950124.0,176.82,0,0,0,無,無,有,130000,735.0,,0.0,0,,RPQNMLMJNHKFFDA47CC,25.0374729,121.5611808
信義區,建物,臺北市信義區忠孝東路五段236巷31~60號,0.0,,1040425,土地0建物1車位0,六層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860610.0,40.14,1,1,1,有,無,無,30000,747.0,,0.0,0,,RPSNMLMJNHKFFDA67CC,25.03841,121.5719779
