district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
中山區,建物,臺北市中山區堤頂大道二段481~510號,0.0,其他,1031031,土地0建物1車位0,五層,10.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,991201.0,102.07,1,1,1,有,有,有,52000,509.0,,0.0,0,親友、員工或其他特殊關係間之交易。;續租。,RPVPMLNJJIJFFCA77CC,25.082885,121.5618128
內湖區,建物,臺北市內湖區大湖山莊街181~210號,0.0,住,1031007,土地0建物1車位0,三層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820105.0,65.3,2,1,1,有,有,有,19000,291.0,,0.0,0,管理費：1975元/月,RPXPMLNJJIJFFCA97CC,25.088357,121.60103
內湖區,建物,臺北市內湖區成功路四段31~60號,0.0,商,1031011,土地0建物1車位0,十三層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,781107.0,114.65,3,2,2,有,有,有,25000,218.0,,0.0,0,管理費：800元/月,RPSRMLNJJIJFFCA67CC,25.0812234,121.591615
內湖區,建物,臺北市內湖區內湖路二段339巷10弄1~30號,0.0,住,1031012,土地0建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土加強磚造,,40.13,2,0,1,有,無,有,11500,287.0,,0.0,0,,RPXRMLNJJIJFFCA18CC,25.083959,121.5852271
內湖區,建物,臺北市內湖區文德路90巷31~60號,0.0,商,1031018,土地0建物1車位0,二層,9.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,861125.0,52.49,2,1,1,有,有,有,13000,248.0,,0.0,0,,RPPSMLNJJIJFFCA47CC,25.077699,121.5825388
內湖區,建物,臺北市內湖區環山路一段59巷1~30號,0.0,住,1031018,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670606.0,119.38,2,1,1,有,無,有,25000,209.0,,0.0,0,,RPQSMLNJJIJFFCA57CC,25.0861118,121.5679941
中山區,房地(土地+建物),臺北市中山區北安路811~840號,5.0,住,1031015,土地1建物1車位0,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991224.0,44.32,0,0,0,無,無,無,38863,877.0,,0.0,0,,RPTSMLNJJIJFFCA87CC,25.085196,121.5554409
內湖區,建物,臺北市內湖區文湖街21巷94弄1~30號,0.0,住,1031027,土地0建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830826.0,72.81,2,2,1,有,有,有,15000,206.0,,0.0,0,管理費：1100元/月,RPUSMLNJJIJFFCA97CC,25.090208,121.55986
中山區,建物,臺北市中山區合江街58巷1~30號,0.0,住,1031003,土地0建物0車位0,二層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620907.0,22.41,1,0,1,有,無,有,11000,491.0,,0.0,0,,RPPTMLNJJIJFFCA57CC,25.0558319,121.538936
內湖區,建物,臺北市內湖區堤頂大道二段271~300號,245.73,工,1031029,土地0建物1車位0,七層,10.0,廠辦,工業用,鋼筋混凝土造,980116.0,245.73,0,0,0,無,有,有,168000,684.0,,0.0,0,"含B3一個車位；第三.四年度租金調整為176400元, 第五年度租金調整為185220元",RPVNMLOJJIJFFCA67CC,25.0783433,121.5658219
