district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
內湖區,建物,臺北市內湖區民權東路六段280巷1~30號,0.0,住,1050415,土地0建物1車位0,十一層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930927.0,195.23,4,2,2,有,有,無,52000,266.0,,0.0,0,,RPPNMLMJNHLFFCA37CC,25.0712658,121.6061279
內湖區,建物,臺北市內湖區內湖路二段253巷1弄1~30號,0.0,住,1050401,土地0建物1車位0,五層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750131.0,91.25,3,2,1,有,無,有,19000,208.0,,0.0,0,,RPPOMLMJNHLFFCA47CC,25.082329,121.5897481
中山區,建物,臺北市中山區吉林路1~30號,0.0,商,1050420,土地0建物1車位2,三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001201.0,286.55,3,2,2,有,有,有,124873,436.0,坡道平面,71.62,0,,RPQOMLMJNHLFFCA57CC,25.0670392,121.5305533
內湖區,建物,臺北市內湖區金龍路211~240號,0.0,住,1050406,土地0建物1車位0,四層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750121.0,80.22,2,2,2,有,有,有,22000,274.0,,0.0,0,管理費：2727元/月,RPROMLMJNHLFFCA67CC,25.0879999,121.5873629
信義區,建物,臺北市信義區松信路1~30號,0.0,住,1050426,土地0建物1車位0,二層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701229.0,107.79,3,2,2,有,無,有,25000,232.0,,0.0,0,續約,RPRNMLMJNHLFFDA67CC,25.044419,121.572258
松山區,建物,臺北市松山區南京東路四段1~30號,0.0,商,1050429,土地0建物1車位0,十二層,15.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,971205.0,57.33,1,1,1,有,有,有,29000,506.0,,0.0,0,,RPSNMLMJNHLFFDA77CC,25.0519742,121.5495307
北投區,房地(土地+建物),臺北市北投區實踐街1~30號,26.25,商,1050408,土地2建物1車位0,一層,5.0,店面(店鋪),見使用執照,鋼筋混凝土造,671009.0,107.45,0,1,1,有,無,無,39000,363.0,,0.0,0,,RPUNMLMJNHLFFEA08CC,25.1146721,121.5072665
文山區,建物,臺北市文山區景美街91~120號,0.0,商,1050406,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,106.66,2,1,1,有,無,無,32000,300.0,,0.0,0,,RPPNMLMJNHLFFAA17CC,24.9904569,121.5417671
中正區,建物,臺北市中正區寧波西街1~30號,0.0,住,1050404,土地0建物1車位0,十一層,11.0,辦公商業大樓,見其他登記事項,鋼筋混凝土造,940607.0,83.41,4,2,2,有,有,有,55000,659.0,,0.0,0,含增建,RPVNMLNJNHLFFAA87CC,25.0315748,121.5188063
萬華區,建物,臺北市萬華區萬大路187巷3弄1~30號,11.95,商,1050501,土地0建物1車位0,四層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640508.0,31.18,2,1,1,有,無,無,7000,225.0,,0.0,0,,RPWNMLNJNHLFFBA08CC,25.0284293,121.5016054
中正區,房地(土地+建物),臺北市中正區新生南路一段1~30號,8.39,其他,1050501,土地1建物1車位0,一層,14.0,辦公商業大樓,商業用,鋼筋混凝土造,741210.0,61.62,0,0,0,無,無,無,85000,1379.0,,0.0,0,,RPOOMLNJNHLFFBA37CC,25.0398048,121.5324989
萬華區,建物,臺北市萬華區青年路121~150號,0.0,住,1050408,土地0建物1車位0,三層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640403.0,31.6,1,1,1,有,有,有,8000,253.0,,0.0,0,,RPQOMLNJNHLFFBA57CC,25.022506,121.5026413
大安區,建物,臺北市大安區光復南路240巷1~30號,0.0,,1050408,土地0建物1車位0,六層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.26,4,2,2,有,有,無,60000,310.0,,0.0,0,,RPQNMLNJNHLFFFA87CC,25.0404082,121.5574353
大安區,房地(土地+建物),臺北市大安區敦化南路一段161巷69弄1~30號,71.63,住,1050414,土地1建物1車位0,一層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,751220.0,273.56,0,0,3,有,無,無,230000,841.0,,0.0,0,,RPSNMLNJNHLFFFA08CC,25.0435991,121.5495081
大安區,建物,臺北市大安區仁愛路四段345巷15弄1~30號,0.0,住,1050428,土地0建物1車位0,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.53,0,1,2,有,無,無,45000,345.0,,0.0,0,,RPTNMLNJNHLFFFA18CC,25.0389032,121.5542571
大安區,建物,臺北市大安區四維路1~30號,0.0,其他,1050429,土地0建物1車位0,一層,14.0,店面(店鋪),住家用,鋼筋混凝土造,,100.22,4,1,1,有,有,無,82000,818.0,,0.0,0,,RPUNMLNJNHLFFFA28CC,25.0277157,121.5479269
大安區,房地(土地+建物),臺北市大安區和平東路二段91~120號,8.17,商,1050428,土地1建物1車位0,四層,12.0,辦公商業大樓,商業用,鋼筋混凝土造,730616.0,104.34,3,2,2,有,有,無,30000,288.0,,0.0,0,,RPVNMLNJNHLFFFA38CC,25.0254905,121.5398993
大安區,建物,臺北市大安區忠孝東路四段181巷40弄1~30號,496.0,住,1050503,土地0建物1車位0,一層,5.0,店面(店鋪),商業用,鋼筋混凝土造,741015.0,122.29,0,0,0,無,無,無,160000,1308.0,,0.0,0,,RPWNMLNJNHLFFFA48CC,25.0440759,121.5504888
北投區,建物,臺北市北投區中央南路二段1~30號,8.28,工,1050401,土地0建物1車位1,十六層,19.0,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040828.0,51.85,0,0,0,無,有,無,17000,328.0,坡道平面,36.9,0,,RPSNMLNJNHLFFEA97CC,25.1260487,121.5005871
北投區,建物,臺北市北投區中央南路二段1~30號,7.77,工,1050401,土地0建物1車位1,七層,19.0,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040828.0,48.71,0,0,0,無,有,無,15000,308.0,坡道平面,36.9,0,,RPTNMLNJNHLFFEA08CC,25.1260487,121.5005871
北投區,建物,臺北市北投區中央南路二段1~30號,7.77,工,1050401,土地0建物1車位0,七層,19.0,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040828.0,48.71,0,0,0,無,有,無,16000,328.0,,0.0,0,,RPUNMLNJNHLFFEA18CC,25.1260487,121.5005871
北投區,建物,臺北市北投區中央南路二段1~30號,8.2,工,1050401,土地0建物1車位0,七層,19.0,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040828.0,51.05,0,0,0,無,有,無,15000,294.0,,0.0,0,,RPVNMLNJNHLFFEA28CC,25.1260487,121.5005871
士林區,建物,臺北市士林區通河街325巷31~60號,0.0,住,1050331,土地0建物1車位0,一層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,591210.0,29.48,1,1,1,有,有,有,9000,305.0,,0.0,0,,RPWNMLNJNHLFFEA38CC,25.0816525,121.5183302
士林區,建物,臺北市士林區美崙街84巷1~30號,0.0,住,1050430,土地0建物1車位0,全,2.0,透天厝,住家用,加強磚造,550226.0,87.91,3,2,2,有,無,無,30800,350.0,,0.0,0,,RPPOMLNJNHLFFEA77CC,25.0970057,121.5215178
信義區,建物,臺北市信義區臺北市信義區松仁路61~90號,0.0,其他,1050425,土地0建物1車位0,十八層,18.0,辦公商業大樓,住家用,見使用執照,880119.0,405.81,0,0,0,無,有,無,338449,834.0,,0.0,0,,RPPNMLNJNHLFFDA57CC,25.027771,121.564127
松山區,建物,臺北市松山區南京東路四段1~30號,0.0,商,1050418,土地0建物1車位0,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971205.0,55.88,2,1,1,有,有,有,28500,510.0,,0.0,0,,RPVNMLNJNHLFFDA18CC,25.0519742,121.5495307
松山區,建物,臺北市松山區光復北路60巷1~30號,0.0,住,1050414,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630614.0,96.83,1,1,1,有,無,無,35000,361.0,,0.0,0,,RPWNMLNJNHLFFDA28CC,25.049839,121.5565207
中山區,建物,臺北市中山區松江路271~300號,0.0,商,1050421,土地0建物1車位0,四層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,590131.0,245.09,2,2,1,有,有,有,38500,157.0,,0.0,0,,RPQNMLNJNHLFFCA57CC,25.0598864,121.5334014
