district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
中山區,建物,臺北市中山區敬業一路31~60號,0.0,商,1050107,土地0建物1車位0,三層,8.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,961206.0,73.31,1,1,1,有,有,有,35000,477.0,,0.0,0,租金含管理費,RPQNMLLJKHLFFCA07CC,25.0810634,121.5525721
內湖區,建物,臺北市內湖區康寧路三段70巷121~150號,0.0,住,1050110,土地0建物1車位0,五層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780807.0,160.87,3,2,2,有,有,有,22000,137.0,,0.0,0,租金含管理費,RPSNMLLJKHLFFCA27CC,25.0671449,121.6092375
中山區,建物,臺北市中山區北安路621巷31~60號,0.0,住,1050115,土地0建物1車位0,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740705.0,121.39,3,2,2,有,有,有,31000,255.0,,0.0,0,,RPUNMLLJKHLFFCA47CC,25.083073,121.54744
內湖區,建物,臺北市內湖區星雲街16巷61~90號,0.0,住,1050116,土地0建物1車位0,九層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020419.0,224.56,3,2,2,有,有,有,58000,258.0,,0.0,0,租金含車位及管理費,RPVNMLLJKHLFFCA57CC,25.0772737,121.5915387
內湖區,建物,臺北市內湖區文德路210巷1~30號,0.0,住,1050118,土地0建物1車位0,八層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850214.0,42.1,2,1,1,有,有,有,28500,677.0,,0.0,0,,RPWNMLLJKHLFFCA67CC,25.0782616,121.5840049
內湖區,建物,臺北市內湖區港華街91~120號,0.0,住,1050118,土地0建物1車位0,八層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010515.0,52.97,1,1,1,有,有,有,22000,415.0,,0.0,0,租金含車位,RPXNMLLJKHLFFCA77CC,25.0834333,121.5740926
內湖區,建物,臺北市內湖區金湖路331~360號,0.0,住,1050121,土地0建物1車位0,一層,8.0,店面(店鋪),見其他登記事項,鋼筋混凝土造,990323.0,127.27,0,1,1,有,有,無,80000,629.0,,0.0,0,,RPOOMLLJKHLFFCA96CC,25.0735206,121.6035672
內湖區,建物,臺北市內湖區內湖路一段737巷1~30號,0.0,住,1050128,土地0建物1車位0,二層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700105.0,85.36,3,2,2,有,無,無,24200,284.0,,0.0,0,,RPPOMLLJKHLFFCA07CC,25.0791037,121.5784665
內湖區,建物,臺北市內湖區民權東路六段123巷1~30號,0.0,商,1041231,土地0建物1車位0,八層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880717.0,69.81,2,1,1,有,有,有,24000,344.0,,0.0,0,,RPUOMLLJKHLFFCA57CC,25.0694119,121.5928933
中山區,建物,臺北市中山區中山北路一段61~90號,0.0,商,1050130,土地0建物1車位0,見其他登記事項,3.0,店面(店鋪),,磚造,,272.95,0,0,0,無,無,無,190000,696.0,,0.0,0,,RPRPMLLJKHLFFCA37CC,25.0499695,121.5219583
內湖區,建物,臺北市內湖區堤頂大道二段151~180號,0.0,工,1050121,土地0建物1車位5,十一層,12.0,廠辦,工業用,見使用執照,910917.0,743.48,3,0,0,有,有,無,270000,363.0,坡道平面,0.0,0,,RPUPMLLJKHLFFCA67CC,25.0757019,121.572079
中山區,建物,臺北市中山區民權東路三段61~90號,0.0,商,1050110,土地0建物1車位0,三層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,751125.0,138.12,3,2,2,有,有,有,35000,253.0,,0.0,0,,RPXPMLLJKHLFFCA97CC,25.0625501,121.5432045
中山區,建物,臺北市中山區林森北路331~360號,0.0,商,1050120,土地0建物1車位1,二十四層,24.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1021101.0,285.02,3,2,3,有,有,有,158000,554.0,坡道平面,26.66,0,,RPPQMLLJKHLFFCA27CC,25.056386,121.525667
中山區,建物,臺北市中山區農安街1~30號,0.0,商,1050118,土地0建物1車位0,五層,10.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,861126.0,78.96000000000002,1,1,1,有,有,有,30000,380.0,,0.0,0,,RPQQMLLJKHLFFCA37CC,25.065211,121.5293055
中山區,建物,臺北市中山區吉林路393巷1~30號,0.0,住,1050115,土地0建物1車位0,一層,1.0,店面(店鋪),住家用,鋼筋混凝土造,610910.0,69.4,0,0,0,無,無,無,34056,491.0,,0.0,0,,RPWQMLLJKHLFFCA97CC,25.0657621,121.530701
內湖區,建物,臺北市內湖區金豐街61~90號,0.0,其他,1050120,土地0建物1車位1,二層,10.0,廠辦,見其他登記事項,鋼筋混凝土造,991124.0,68.97,0,0,0,無,有,無,32000,464.0,坡道平面,38.72,0,,RPVRMLLJKHLFFCA97CC,25.0645366,121.5883057
中山區,建物,臺北市中山區中山北路一段61~90號,0.0,商,1050101,土地0建物1車位0,十三層,13.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,980327.0,42.19,1,1,1,有,有,有,29000,687.0,,0.0,0,,RPWRMLLJKHLFFCA08CC,25.0499695,121.5219583
松山區,建物,臺北市松山區南京東路五段121~150號,0.0,商,1050118,土地0建物1車位0,二層,2.0,公寓(5樓含以下無電梯),,加強磚造,,113.53,0,1,1,有,無,無,40000,352.0,,0.0,0,,RPRNMLLJKHLFFDA27CC,25.0517373,121.5607167
南港區,建物,臺北市南港區重陽路571~600號,0.0,住,1050121,土地0建物1車位0,八層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011026.0,228.62,4,2,2,有,有,有,47000,206.0,,0.0,0,租金含管理費,RPUNMLLJKHLFFDA57CC,25.0632748,121.6144403
