district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
中山區,建物,臺北市中山區新生北路二段31~60號,0.0,住,1040715,土地0建物1車位0,九層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,980916.0,208.45,4,2,2,有,有,有,66000,317.0,,0.0,0,,RPPNMLLJQHKFFCA47CC,25.0542013,121.5278274
中山區,建物,臺北市中山區林森北路511~540號,0.0,商,1040721,土地0建物1車位0,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940826.0,48.12000000000001,2,2,1,有,無,有,26000,540.0,,0.0,0,,RPQNMLLJQHKFFCA57CC,25.0619756,121.5257455
中山區,建物,臺北市中山區吉林路12巷1~30號,0.0,住,1040727,土地0建物1車位0,三層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670905.0,174.16,4,2,2,有,無,無,30000,172.0,,0.0,0,,RPRNMLLJQHKFFCA67CC,25.0501688,121.5298459
中山區,建物,臺北市中山區新生北路二段101巷1~30號,0.0,住,1040701,土地0建物0車位0,三層,3.0,套房(1房1廳1衛),住家用,加強磚造,,12.94,1,0,1,有,無,有,8800,680.0,,0.0,0,此為分租套房,RPSNMLLJQHKFFCA77CC,25.0575008,121.5280926
中山區,建物,臺北市中山區合江街58巷1~30號,0.0,住,1040703,土地0建物0車位0,一層,4.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,620907.0,22.41,1,0,1,有,無,有,11000,491.0,,0.0,0,此為分租套房,RPTNMLLJQHKFFCA87CC,25.0558319,121.538936
中山區,建物,臺北市中山區吉林路393巷1~30號,0.0,住,1040703,土地0建物0車位0,四層,4.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,610910.0,16.07,1,0,1,有,無,有,9300,579.0,,0.0,0,此物件為分租套房,RPUNMLLJQHKFFCA97CC,25.0657621,121.530701
中山區,建物,臺北市中山區長安東路二段151~180號,0.0,商,1040731,土地0建物1車位0,十一層,14.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,900326.0,72.42,2,1,1,有,有,有,33000,456.0,,0.0,0,,RPVNMLLJQHKFFCA08CC,25.0483536,121.5387141
中山區,建物,臺北市中山區中山北路三段55巷1~30號,0.0,商,1040704,土地0建物0車位0,三層,8.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,681127.0,24.65,1,0,1,有,有,有,8500,345.0,,0.0,0,此物件為分租套房,RPWNMLLJQHKFFCA18CC,25.0678733,121.5236812
中山區,建物,臺北市中山區中山北路一段83巷1~30號,0.0,商,1040707,土地0建物1車位0,五層,7.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,850613.0,39.65000000000001,1,0,1,有,有,有,14000,353.0,,0.0,0,,RPXNMLLJQHKFFCA28CC,25.0504647,121.5225109
中山區,建物,臺北市中山區新生北路二段137巷1~30號,0.0,住,1040707,土地0建物1車位0,一層,4.0,店面(店鋪),,加強磚造,,79.03,1,1,1,有,無,有,23000,291.0,,0.0,0,,RPOOMLLJQHKFFCA47CC,25.0613376,121.5279855
松山區,建物,臺北市松山區南京東路四段1~30號,0.0,商,1040725,土地0建物1車位0,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971205.0,55.87000000000001,2,2,1,有,有,有,28000,501.0,,0.0,0,含管理費。,RPPNMLLJQHKFFDA57CC,25.0519742,121.5495307
松山區,建物,臺北市松山區八德路二段331~360號,0.0,商,1040731,土地0建物1車位0,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980123.0,69.57,1,1,1,有,有,有,40000,575.0,,0.0,0,,RPQNMLLJQHKFFDA67CC,25.0479372,121.5458874
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,1040707,土地0建物1車位0,十三層,18.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724.0,92.41,2,2,1,有,有,有,43200,467.0,,0.0,0,,RPPNMLLJQHKFFBA37CC,25.048493,121.5187377
大同區,建物,臺北市大同區太原路1~30號,0.0,商,1040714,土地0建物1車位0,八層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000418.0,91.9,2,2,1,有,有,有,45000,490.0,,0.0,0,含管理費。,RPQNMLLJQHKFFBA47CC,25.0508869,121.5152591
大同區,建物,臺北市大同區酒泉街10巷1~30號,0.0,商,1040720,土地0建物1車位0,二層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010403.0,157.17,3,2,2,有,有,有,54000,344.0,,0.0,0,,RPRNMLLJQHKFFBA57CC,25.0704996,121.5198081
大同區,建物,臺北市大同區南京西路25巷31~60號,0.0,商,1040725,土地0建物1車位0,五層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970626.0,107.86,2,2,1,有,有,有,42000,389.0,,0.0,0,,RPSNMLLJQHKFFBA67CC,25.0568399,121.5204985
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,1040725,土地0建物1車位0,十二層,18.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724.0,86.59,2,2,1,有,有,有,55000,635.0,,0.0,0,含管理費,RPTNMLLJQHKFFBA77CC,25.048493,121.5187377
大同區,建物,臺北市大同區太原路61~90號,0.0,商,1040731,土地0建物1車位0,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971211.0,96.47,2,2,1,有,有,有,40000,415.0,,0.0,0,,RPUNMLLJQHKFFBA87CC,25.0513873,121.5155936
萬華區,建物,臺北市萬華區西寧南路121~150號,0.0,商,1040717,土地0建物1車位0,八層,27.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1010320.0,182.45,3,1,2,有,有,有,76522,419.0,,0.0,0,,RPVNMLLJQHKFFBA97CC,25.044641,121.506596
大同區,建物,臺北市大同區重慶北路二段181~210號,0.0,商,1040702,土地0建物1車位0,十層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,731116.0,59.67,2,1,1,有,有,有,16000,268.0,,0.0,0,此租金包含管理費,RPXNMLLJQHKFFBA18CC,25.0597294,121.5137734
士林區,建物,臺北市士林區中山北路六段31~60號,0.0,住,1040721,土地0建物1車位1,四層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010522.0,167.72,3,2,2,有,有,有,78000,465.0,坡道平面,0.0,0,,RPPNMLLJQHKFFEA67CC,25.1034301,121.5248822
北投區,建物,臺北市北投區東陽街411巷1~30號,0.0,住,1040725,土地0建物1車位0,七層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,881215.0,123.23,3,2,2,有,有,有,46500,377.0,,0.0,0,含管理費。,RPQNMLLJQHKFFEA77CC,25.1125528,121.5177759
士林區,建物,臺北市士林區中山北路六段157巷1~30號,0.0,工,1040724,土地0建物1車位0,十一層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,971002.0,101.18,2,2,1,有,有,有,64000,633.0,,0.0,0,,RPRNMLLJQHKFFEA87CC,25.1067274,121.5247651
