district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
信義區,房地(土地+建物),臺北市信義區吳興街364巷31~60號,25.78,住,1041004,土地1建物1車位0,一層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700306,83.25,3,2,2,有,無,無,18000,216.0,,0.0,0,,RPSNMLLJJIKFFDA27CC,25.0249278,121.5659526
信義區,房地(土地+建物),臺北市信義區信義路五段150巷445弄1~30號,28.04,住,1041015,土地1建物1車位0,三層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730830,91.53,3,2,2,有,無,無,22000,240.0,,0.0,0,,RPTNMLLJJIKFFDA37CC,25.023192,121.572229
信義區,房地(土地+建物),臺北市信義區吳興街281巷1~30號,30.0,住,1041013,土地1建物1車位0,一層,4.0,店面(店鋪),住家用,鋼筋混凝土造,,78.0,0,0,0,無,無,無,50000,641.0,,0.0,0,,RPUNMLLJJIKFFDA47CC,25.0266004,121.5643225
松山區,建物,臺北市松山區復興北路1~30號,0.0,商,1041021,土地0建物1車位0,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670817,134.98000000000002,3,2,2,有,有,有,55000,407.0,,0.0,0,租金含管理費,RPQNMLMJJIKFFDA17CC,25.0479767,121.5444731
松山區,建物,臺北市松山區南京東路五段151~180號,0.0,,1041026,土地0建物1車位0,十五層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760526,125.0,0,0,0,無,有,無,38600,309.0,,0.0,0,,RPRNMLMJJIKFFDA27CC,25.051669,121.562161
信義區,房地(土地+建物),臺北市信義區信義路五段91~120號,32.99,住,1041021,土地1建物1車位0,十二層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860926,63.88,2,1,1,有,有,有,27500,430.0,,0.0,0,,RPSNMLMJJIKFFDA37CC,25.0326825,121.5651137
松山區,建物,臺北市松山區敦化南路一段100巷7弄1~30號,0.0,住,1041018,土地0建物0車位0,全,1.0,透天厝,,加強磚造,,66.62,0,0,0,無,無,無,49000,736.0,,0.0,0,,RPUNMLMJJIKFFDA57CC,25.0456638,121.5480694
松山區,建物,臺北市松山區民生東路五段69巷1~30號,0.0,其他,1041028,土地0建物1車位0,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660407,73.43,3,2,2,有,有,有,45206,616.0,,0.0,0,,RPPOMLMJJIKFFDA17CC,25.0587629,121.5571904
信義區,建物,臺北市信義區永吉路31~60號,0.0,商,1041027,土地0建物1車位0,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960524,96.01,2,1,2,有,有,有,70000,729.0,,0.0,0,租期為柒個月又貳拾伍天，租金內含有線電視、ADSL費用,RPQOMLMJJIKFFDA27CC,25.045894,121.568593
信義區,建物,臺北市松山區吳興街284巷59弄1~30號,0.0,住,1041019,土地0建物1車位1,四層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970128,194.76,2,2,2,有,無,有,125000,642.0,坡道平面,116.39,0,,RPSOMLMJJIKFFDA47CC,25.022339,121.563496
