district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,1060715,土地0建物1車位0,六層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726.0,123.91,2,1,1,有,有,有,69000,557.0,,0.0,0,,RPSNMLLJQHMFFCA97CC,25.0649087,121.5256777
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,1060705,土地0建物1車位0,九層,12.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602.0,95.55,2,1,1,有,有,有,50000,523.0,,0.0,0,租金含管理費,RPVNMLLJQHMFFCA28CC,25.056545,121.5260897
內湖區,房地(土地+建物)+車位,臺北市內湖區洲子街31~60號,1053.69,其他,1060701,土地1建物1車位4,十一層,12.0,辦公商業大樓,見其他登記事項,見其他登記事項,1060125.0,1053.69,1,0,0,有,無,無,556558,528.0,坡道平面,0.0,14700,,RPWNMLLJQHMFFCA38CC,25.0787764,121.5742924
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖二路151~180號,264.19,工,1060707,土地1建物1車位2,二層,6.0,辦公商業大樓,工業用,鋼筋混凝土造,910411.0,264.19,1,0,0,有,有,無,83000,314.0,坡道平面,0.0,0,,RPPOMLLJQHMFFCA77CC,25.0614673,121.5772754
內湖區,房地(土地+建物),臺北市內湖區瑞光路391~420號,380.23,工,1060706,土地1建物1車位0,一層,12.0,辦公商業大樓,工業用,見其他登記事項,951128.0,380.23,1,0,0,有,有,無,260400,685.0,,0.0,0,,RPQOMLLJQHMFFCA87CC,25.0773332,121.5728623
中山區,建物,臺北市中山區林森北路85巷31~60號,0.0,商,1060718,土地0建物1車位0,地下層,5.0,其他,見使用執照,鋼筋混凝土造,790829.0,61.72,0,0,0,無,無,有,45408,736.0,,0.0,0,,RPROMLLJQHMFFCA97CC,25.0495469,121.526024
中山區,建物,臺北市中山區明水路397巷7弄31~60號,0.0,住,1060725,土地0建物1車位1,二層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830317.0,127.37,2,1,1,有,有,有,40000,314.0,坡道平面,0.0,0,,RPWOMLLJQHMFFCA48CC,25.0781645,121.5488731
中山區,建物,臺北市中山區敬業一路121~150號,0.0,商,1060716,土地0建物1車位1,六層,11.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,990512.0,243.54,4,2,2,有,有,有,81690,335.0,坡道平面,51.92,0,,RPXOMLLJQHMFFCA58CC,25.0834859,121.5522877
中山區,建物,臺北市中山區樂群三路61~90號,0.0,商,1060714,土地0建物1車位1,九層,9.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,970201.0,213.59,4,2,2,有,有,有,80000,375.0,坡道平面,40.86,0,,RPOPMLLJQHMFFCA77CC,25.0828044,121.5530511
內湖區,建物,臺北市內湖區成功路三段151~180號,0.0,,1060706,土地0建物1車位0,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,711202.0,140.09,3,2,2,有,有,無,34000,243.0,,0.0,0,,RPUPMLLJQHMFFCA38CC,25.0796152,121.5899439
內湖區,建物,臺北市內湖區舊宗路二段121巷1~30號,0.0,工,1060728,土地0建物1車位1,四層,5.0,廠辦,見其他登記事項,鋼筋混凝土造,970901.0,226.59,2,0,0,有,有,有,56760,250.0,坡道平面,0.0,0,,RPXPMLLJQHMFFCA68CC,25.0693522,121.5752895
