district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
內湖區,建物,臺北市內湖區陽光街92巷25弄1~30號,0.0,住,1050703,土地0建物1車位0,七層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021101.0,71.62,2,1,1,有,有,有,30000,419.0,,0.0,0,租金含管理費,RPRNMLLJQHLFFCA77CC,25.0759463,121.5851419
內湖區,建物,臺北市內湖區成功路三段61~90號,0.0,住,1050720,土地0建物0車位0,三層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690624.0,19.65,1,1,1,有,無,有,8500,433.0,,0.0,0,分租套房,RPTNMLLJQHLFFCA97CC,25.0773094,121.5905296
內湖區,建物,臺北市內湖區金龍路1~30號,0.0,住,1050715,土地0建物0車位0,四層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700826.0,26.41,1,1,1,有,無,有,11000,417.0,,0.0,0,分租套房,RPUNMLLJQHLFFCA08CC,25.0844697,121.594959
內湖區,建物,臺北市內湖區文德路271~300號,0.0,住,1050716,土地0建物1車位0,五層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,950417.0,50.92999999999999,1,1,1,有,有,有,20000,393.0,,0.0,0,,RPWNMLLJQHLFFCA28CC,25.0791713,121.5887303
中山區,建物,臺北市中山區敬業一路128巷31~60號,0.0,商,1050722,土地0建物1車位0,四層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,960912.0,78.19,1,1,1,有,有,有,22000,281.0,,0.0,0,租金不含管理費,RPXNMLLJQHLFFCA38CC,25.0835056,121.5534434
中山區,建物,臺北市中山區敬業一路121~150號,0.0,商,1050726,土地0建物1車位0,三層,9.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,940127.0,33.26,1,1,1,有,有,有,16500,496.0,,0.0,0,租金不含管理費,RPOOMLLJQHLFFCA57CC,25.0834859,121.5522877
中山區,建物,臺北市中山區明水路631~660號,0.0,商,1050729,土地0建物1車位0,八層,9.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,960503.0,84.93,2,2,2,有,有,有,37000,436.0,,0.0,0,租金含管理費,RPQOMLLJQHLFFCA77CC,25.0826159,121.5511139
內湖區,建物,臺北市內湖區內湖路三段5巷1~30號,0.0,住,1050729,土地0建物1車位0,四層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760609.0,94.34,4,2,2,有,有,有,32000,339.0,,0.0,0,,RPROMLLJQHLFFCA87CC,25.0888772,121.5876733
中山區,建物,臺北市中山區明水路631~660號,0.0,商,1050729,土地0建物1車位1,七層,9.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,960503.0,94.21,2,2,1,有,有,有,26000,276.0,坡道機械,0.0,0,,RPSOMLLJQHLFFCA97CC,25.0826159,121.5511139
中山區,建物,臺北市中山區錦州街331~360號,0.0,住,1050718,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660330.0,108.8,0,1,1,有,無,無,50000,460.0,,0.0,0,,RPTOMLLJQHLFFCA08CC,25.0603641,121.5389614
