district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
北投區,建物,臺北市北投區石牌路二段315巷1~30號,0.0,住,1060415,土地0建物1車位1,一層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980622.0,202.85,4,2,2,有,有,有,53000,261.0,坡道平面,28.97,0,,RPOPMLLJNHMFFEA67CC,25.1238688,121.5222642
中正區,建物,臺北市中正區中華路一段1~30號,0.0,商,1060420,土地0建物1車位0,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041214.0,57.31,1,1,1,有,有,有,31000,541.0,,0.0,0,租金包含大樓管理費,RPWNMLLJNHMFFBA97CC,25.0475499,121.5106925
萬華區,建物,臺北市萬華區西園路二段225巷1~30號,0.0,,1060502,土地0建物1車位0,四層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741023.0,72.51,3,2,1,有,無,有,15000,207.0,,0.0,0,,RPROMLMJNHMFFBA67CC,25.027053,121.494869
中正區,建物,臺北市中正區杭州南路一段77巷1~30號,24.97,住,1060501,土地0建物1車位0,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050418.0,96.46,1,2,1,有,有,有,69000,715.0,,0.0,0,,RPUOMLMJNHMFFBA97CC,25.0392397,121.5258924
大同區,建物,臺北市大同區萬全街1~30號,0.0,商,1060405,土地0建物1車位0,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016.0,82.47,2,2,1,有,有,有,55000,667.0,,0.0,0,,RPXOMLMJNHMFFBA28CC,25.0588024,121.5203655
中正區,建物,臺北市中正區汀洲路三段211~240號,0.0,商,1060322,土地0建物1車位0,一層,7.0,店面(店鋪),商業用,鋼筋混凝土造,701119.0,73.89,0,0,0,無,有,無,150000,2030.0,,0.0,0,,RPRNMLMJNHMFFAA47CC,25.0158368,121.5308227
中正區,建物,臺北市中正區同安街1~30號,0.0,住,1060408,土地0建物1車位0,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001110.0,67.48,2,2,2,有,無,有,40000,593.0,,0.0,0,,RPXNMLMJNHMFFAA08CC,25.0262855,121.5226648
大安區,建物,臺北市大安區敦化南路一段241~270號,0.0,其他,1060418,土地0建物1車位1,十四層,14.0,辦公商業大樓,住家用,鋼筋混凝土造,710610.0,206.73,4,3,4,有,有,無,168000,813.0,坡道平面,0.0,0,,RPWNMLMJNHMFFFA48CC,25.0403156,121.5486055
大安區,建物,臺北市大安區敦化南路二段121~150號,0.0,其他,1060410,土地0建物1車位0,二層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.96,1,3,1,有,無,無,65000,385.0,,0.0,0,,RPOOMLMJNHMFFFA77CC,25.0269803,121.5489883
士林區,建物,臺北市士林區東山路25巷51弄1~30號,0.0,住,1060328,土地0建物1車位0,全,2.0,透天厝,住家用,加強磚造,590815.0,438.1,5,2,5,有,無,有,260000,593.0,,0.0,0,,RPOOMLMJNHMFFEA67CC,25.118773,121.542162
松山區,房地(土地+建物),臺北市松山區光復北路1~30號,15.21,商,1060426,土地9建物1車位0,二層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,780216.0,136.77,0,1,1,有,有,無,35000,256.0,,0.0,0,,RPVNMLMJNHMFFDA18CC,25.0484203,121.5580718
松山區,建物,臺北市松山區延壽街402巷4弄1~30號,0.0,住,1060428,土地0建物1車位0,一層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,99.77,3,2,2,有,無,有,39000,391.0,,0.0,0,,RPXNMLMJNHMFFDA38CC,25.0555482,121.5571645
松山區,建物,臺北市松山區敦化北路151~180號,0.0,其他,1060410,土地0建物0車位0,十層,19.0,辦公商業大樓,商業用,鋼骨混凝土造,781125.0,251.81,0,0,0,無,有,無,156800,623.0,,0.0,0,,RPROMLMJNHMFFDA87CC,25.0542365,121.5493477
信義區,建物,臺北市信義區光復南路541~570號,0.0,商,1060501,土地0建物1車位0,十三層,18.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,970822.0,42.98,1,1,1,有,有,有,30000,698.0,,0.0,0,,RPSOMLMJNHMFFDA97CC,25.0317084,121.5576302
松山區,建物,臺北市松山區南京東路四段151~180號,0.0,商,1060501,土地0建物1車位0,三層,12.0,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,720401.0,50.45,2,1,1,有,無,有,26500,525.0,,0.0,0,,RPOPMLMJNHMFFDA67CC,25.0518383,121.5556829
中山區,建物,臺北市中山區新生北路二段61~90號,0.0,商,1060411,土地0建物1車位0,十二層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970925.0,35.34,1,1,1,有,有,有,19400,549.0,,0.0,0,,RPUNMLMJNHMFFCA97CC,25.0613244,121.5296175
中山區,建物,臺北市中山區民權東路三段75巷2弄1~30號,0.0,住,1060412,土地0建物1車位0,四層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660121.0,130.05,3,2,2,有,無,無,60000,461.0,,0.0,0,,RPVNMLMJNHMFFCA08CC,25.0630017,121.5435627
中山區,建物,臺北市中山區錦州街331~360號,0.0,住,1060501,土地0建物1車位0,一層,7.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,730524.0,59.32,0,0,0,無,有,無,50000,843.0,,0.0,0,,RPQOMLMJNHMFFCA67CC,25.0603641,121.5389614
中山區,建物,臺北市中山區復興北路331~360號,0.0,住,1060401,土地0建物1車位0,六層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,780317.0,102.3,2,2,1,有,有,有,28000,274.0,,0.0,0,,RPSOMLMJNHMFFCA87CC,25.0596758,121.5444275
中山區,建物,臺北市中山區中山北路二段59巷1~30號,0.0,商,1060413,土地0建物1車位0,九層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041127.0,142.78,3,2,2,有,有,有,110000,770.0,,0.0,0,,RPOPMLMJNHMFFCA57CC,25.055962,121.523216
內湖區,建物,臺北市內湖區文德路210巷30弄31~60號,0.0,住,1060421,土地0建物1車位0,一層,5.0,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,730630.0,160.02,0,0,0,無,無,無,38000,237.0,,0.0,0,,RPTPMLMJNHMFFCA08CC,25.0771001,121.5849385
內湖區,建物,臺北市內湖區成功路三段174巷31~60號,0.0,住,1060419,土地0建物1車位0,一層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031023.0,73.32,0,0,1,有,有,有,45000,614.0,,0.0,0,登記1+2樓僅出租一樓,RPUPMLMJNHMFFCA18CC,25.0815846,121.5905903
中山區,建物,臺北市中山區中山北路一段61~90號,0.0,商,1060428,土地0建物1車位0,二層,13.0,套房(1房1廳1衛),商業用,鋼筋混凝土造,980327.0,44.54,0,0,0,無,有,有,25000,561.0,,0.0,0,,RPXPMLMJNHMFFCA48CC,25.0499695,121.5219583
中山區,建物,臺北市中山區錦州街151~180號,0.0,商,1060405,土地0建物1車位0,一層,4.0,店面(店鋪),住家用,加強磚造,,83.73,0,1,1,有,無,有,33000,394.0,,0.0,0,,RPSQMLMJNHMFFCA08CC,25.0603365,121.5296735
中山區,建物,臺北市中山區松江路121~150號,0.0,商,1060402,土地0建物1車位0,四層,12.0,辦公商業大樓,商業用,鋼筋混凝土造,750926.0,189.37,0,0,0,無,無,有,108832,575.0,,0.0,0,,RPUQMLMJNHMFFCA28CC,25.0528258,121.5333503
內湖區,建物,臺北市內湖區內湖路三段343巷3弄1~30號,0.0,住,1060426,土地0建物1車位0,四層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690603.0,86.46,3,2,1,有,無,無,20000,231.0,,0.0,0,,RPUNMLNJNHMFFCA08CC,25.0886899,121.5842584
中山區,建物,臺北市中山區民權東路一段31~60號,0.0,商,1060415,土地0建物1車位2,九層,10.0,辦公商業大樓,商業用,鋼筋混凝土造,890630.0,167.44,3,0,0,有,有,無,90000,538.0,升降機械,0.0,0,,RPUOMLNJNHMFFCA18CC,25.0629946,121.5241052
