district,type,address,land_size,purpose,date,pen,level,floor_num,build_state,use,material,complete_yr,total_size,room,hall,health,compartmented,manage,furniture,PRICE,unit_PRICE,berth,berth_size,berth_price,note,serial_num,lat,lng
中山區,建物,臺北市中山區建國北路一段31~60號,0.0,商,1051022,土地0建物1車位0,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960913.0,72.3,1,1,1,有,有,有,40000,553.0,,0.0,0,,RPSNMLLJJILFFCA27CC,25.0478385,121.5393649
中山區,建物,臺北市中山區吉林路1~30號,0.0,商,1051027,土地0建物1車位0,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990906.0,165.43,2,2,2,有,有,有,85000,514.0,,0.0,0,,RPVNMLLJJILFFCA57CC,25.0670392,121.5305533
中山區,建物,臺北市中山區雙城街13巷1~30號,0.0,商,1051020,土地0建物1車位0,七層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021231.0,66.59,1,1,1,有,有,有,38500,578.0,,0.0,0,,RPWNMLLJJILFFCA67CC,25.06417,121.5245646
內湖區,建物,臺北市內湖區內湖路一段285巷69弄1~30號,0.0,住,1051011,土地0建物1車位0,一層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,701230.0,110.73,3,2,2,有,無,無,28000,253.0,,0.0,0,,RPOOMLLJJILFFCA96CC,25.0849145,121.566951
內湖區,建物,臺北市內湖區民權東路六段391~420號,0.0,住,1051024,土地0建物1車位0,九層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940914.0,177.26999999999995,3,2,2,有,有,無,35000,197.0,,0.0,0,,RPPOMLLJJILFFCA07CC,25.0701664,121.6034089
中山區,建物,臺北市中山區樂群二路181~210號,0.0,住,1051017,土地0建物1車位0,四層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,890628.0,155.39999999999995,3,2,2,有,有,有,30000,193.0,,0.0,0,租金含一平面車位,RPQOMLLJJILFFCA17CC,25.0799626,121.5589934
中山區,建物,臺北市中山區敬業三路162巷121~150號,0.0,住,1051005,土地0建物1車位0,四層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,890628.0,155.72,3,2,2,有,有,無,40000,257.0,,0.0,0,租金含管理費,RPROMLLJJILFFCA27CC,25.0795485,121.55944
中山區,建物,臺北市中山區林森北路571~600號,0.0,住,1051024,土地0建物1車位0,十一層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726.0,89.73,1,1,1,有,有,有,61000,680.0,,0.0,0,租金內含管理費,RPQPMLLJJILFFCA27CC,25.0649087,121.5256777
中山區,建物,臺北市中山區明水路631~660號,0.0,商,1051010,土地0建物1車位0,三層,9.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,960503.0,89.36,3,2,2,有,有,無,33000,369.0,,0.0,0,,RPTPMLLJJILFFCA57CC,25.0826159,121.5511139
中山區,建物,臺北市中山區南京東路一段91~120號,0.0,商,1051031,土地0建物1車位0,四層,11.0,辦公商業大樓,商業用,鋼筋混凝土造,,522.53,0,0,0,無,有,無,195000,373.0,,0.0,0,,RPUPMLLJJILFFCA67CC,25.0521824,121.5267412
中山區,建物,臺北市中山區雙城街10巷1~30號,0.0,住,1051020,土地0建物1車位0,七層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,770516.0,174.63,6,2,3,有,有,有,58000,332.0,,0.0,0,,RPVPMLLJJILFFCA77CC,25.0642289,121.5242889
內湖區,建物,臺北市內湖區行善路361~390號,0.0,其他,1051028,土地0建物1車位0,一層,12.0,店面(店鋪),見其他登記事項,鋼筋混凝土造,1021017.0,309.36,0,0,0,無,有,無,121000,391.0,,0.0,0,內含車位一個,RPWPMLLJJILFFCA87CC,25.0638906,121.5853986
中山區,建物,臺北市中山區樂群二路266巷91~120號,0.0,住,1051020,土地0建物1車位2,六層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,960131.0,399.62,6,2,4,有,有,無,178000,445.0,坡道平面,70.96,0,,RPOQMLLJJILFFCA17CC,25.0774197,121.5617804
內湖區,建物,臺北市內湖區新湖一路61~90號,0.0,工,1051026,土地0建物1車位0,五層,7.0,廠辦,見其他登記事項,鋼筋混凝土造,1010626.0,260.75,1,1,0,有,有,無,69000,265.0,,0.0,0,,RPPQMLLJJILFFCA27CC,25.0582581,121.5750636
內湖區,建物,臺北市內湖區新明路241~270號,0.0,工,1051028,土地0建物1車位0,五層,5.0,廠辦,工業用,鋼筋混凝土造,700702.0,96.43,0,0,0,無,無,有,20000,207.0,,0.0,0,,RPRQMLLJJILFFCA47CC,25.0579148,121.5873959
松山區,建物,臺北市松山區民權東路三段160巷1~30號,0.0,住,1051004,土地0建物1車位0,二層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,680430.0,77.47,2,1,1,有,有,無,25000,323.0,,0.0,0,,RPVNMLLJJILFFDA67CC,25.0614749,121.5481016
